,duration,n_visits_scheduled,objid,run,start_time
0,2160.0,1.0,UAO-S200_SN2016bkv_zJ,2016a,2016-03-19 02:28:01.911602
1,2700.0,1.0,UAO-S200_SN2015as_J,2016a,2016-03-19 03:04:01.911602
2,9900.0,10.0,UAO-S143_gdnel31_H,2016a,2016-03-19 03:49:01.911602
3,17100.0,12.0,SAO-7_m1149z1,2016a,2016-03-19 06:34:01.911602
4,3900.0,1.0,UAO-S143_egsel41_H,2016a,2016-03-19 11:19:01.911602
5,2700.0,1.0,UAO-S200_SN2015as_HK,2016a,2016-03-20 02:28:44.491260
6,9900.0,6.0,UAO-S143_gdnel41_H,2016a,2016-03-20 03:13:44.491260
7,20700.0,15.0,SAO-7_a1689z1,2016a,2016-03-20 05:58:44.491260
8,2160.0,1.0,UAO-S200_SN2016bkv_HK,2016a,2016-03-21 02:29:27.136820
9,17100.0,12.0,UAO-S143_gdnel41_J,2016a,2016-03-21 03:05:27.136820
10,8700.0,5.0,UAO-S143_egsel41_H,2016a,2016-03-21 07:50:27.136820
11,5100.0,2.0,SAO-7_a1689z1,2016a,2016-03-21 10:15:27.136820
12,17100.0,12.0,UAO-S143_gdnel31_J,2016a,2016-03-22 03:10:09.864228
13,2400.0,1.0,UAO-S200_SN2016X_J,2016a,2016-03-22 07:55:09.864228
14,9900.0,6.0,SAO-7_m1149z1_H,2016a,2016-03-22 08:35:09.864228
15,3900.0,1.0,UAO-S143_egsel41_J,2016a,2016-03-22 11:20:09.864228
16,9900.0,6.0,SAO-7_m1149z1_H,2016a,2016-03-25 02:52:18.696368
17,2700.0,1.0,UAO-S200_SN2016B_J,2016a,2016-03-25 05:37:18.696368
18,2400.0,1.0,UAO-S200_SN2016X_HK,2016a,2016-03-25 06:22:18.696368
19,9900.0,6.0,UAO-S143_egsel31_H,2016a,2016-03-25 07:02:18.696368
20,5100.0,2.0,SAO-7_m1149z1,2016a,2016-03-25 09:47:18.696368
21,3900.0,1.0,UAO-S143_egsel31_J,2016a,2016-03-25 11:12:18.696368
22,3600.0,1.0,UAO-S200_ASASSN15rb_HK,2016a,2016-03-26 02:33:01.908694
23,26700.0,20.0,SAO-7_m1149z1,2016a,2016-03-26 03:33:01.908694
24,5100.0,2.0,UAO-S143_egsel41_J,2016a,2016-03-26 10:58:01.908694
25,3600.0,1.0,UAO-S200_ASASSN15rb,2016a,2016-03-27 02:33:45.279558
26,26700.0,20.0,SAO-7_m1149z1,2016a,2016-03-27 03:33:45.279558
27,3900.0,1.0,UAO-S143_egsel31_J,2016a,2016-03-27 10:58:45.279558
28,3600.0,1.0,UAO-S200_SN2005ip_HK,2016a,2016-03-28 02:34:28.823497
29,3000.006,1.0,UAO-S200_NGC4559OT_J,2016a,2016-03-28 03:34:28.823497
30,13500.0,9.0,UAO-S143_egsel41_J,2016a,2016-03-28 04:24:28.829497
31,14700.0,10.0,UAO-S143_egsel31_J,2016a,2016-03-28 08:09:28.829497
32,29100.0,22.0,SAO-7_m1149z1,2016a,2016-03-29 02:35:12.554228
