index,duration,end_time,n_visits_scheduled,objid,run,start_time
0,2700.0,2016-03-19 03:13:01.911602,1.0,UAO-S200_SN2015as_HK,2016a,2016-03-19 02:28:01.911602
1,17100.0,2016-03-19 07:58:01.911602,12.0,UAO-S143_gdnel31_J,2016a,2016-03-19 03:13:01.911602
2,12300.0,2016-03-19 11:23:01.911602,8.0,SAO-7_m1149z1,2016a,2016-03-19 07:58:01.911602
3,2700.0,2016-03-19 12:08:01.911602,1.0,UAO-S200_ASASSN15ua_HK,2016a,2016-03-19 11:23:01.911602
4,2700.0,2016-03-20 03:13:44.491260,1.0,UAO-S200_SN2015as_J,2016a,2016-03-20 02:28:44.491260
5,29100.0,2016-03-20 11:18:44.491260,22.0,SAO-7_m1149z1,2016a,2016-03-20 03:13:44.491260
6,3900.0,2016-03-20 12:23:44.491260,1.0,UAO-S143_egsel41_H,2016a,2016-03-20 11:18:44.491260
7,2160.0,2016-03-21 03:05:27.136820,1.0,UAO-S200_SN2016bkv_HK,2016a,2016-03-21 02:29:27.136820
8,9900.0,2016-03-21 05:50:27.136820,6.0,UAO-S143_gdnel41_H,2016a,2016-03-21 03:05:27.136820
9,7500.0,2016-03-21 07:55:27.136820,4.0,UAO-S143_gdnel41_J,2016a,2016-03-21 05:50:27.136820
10,8700.0,2016-03-21 10:20:27.136820,5.0,UAO-S143_egsel41_H,2016a,2016-03-21 07:55:27.136820
11,5100.0,2016-03-21 11:45:27.136820,2.0,SAO-7_a1689z1,2016a,2016-03-21 10:20:27.136820
12,2160.0,2016-03-22 03:06:09.864228,1.0,UAO-S200_SN2016bkv_zJ,2016a,2016-03-22 02:30:09.864228
13,29100.0,2016-03-22 11:11:09.864228,22.0,SAO-7_m1149z1,2016a,2016-03-22 03:06:09.864228
14,3900.0,2016-03-22 12:16:09.864228,1.0,UAO-S143_egsel41_J,2016a,2016-03-22 11:11:09.864228
15,12300.0,2016-03-25 06:17:18.696368,8.0,UAO-S143_gdnel41_J,2016a,2016-03-25 02:52:18.696368
16,2700.0,2016-03-25 07:02:18.696368,1.0,UAO-S173_SN2016B_HK,2016a,2016-03-25 06:17:18.696368
17,2520.0,2016-03-25 07:44:18.696368,1.0,UAO-S200_SN2016C_HK,2016a,2016-03-25 07:02:18.696368
18,9900.0,2016-03-25 10:29:18.696368,6.0,UAO-S143_egsel31_H,2016a,2016-03-25 07:44:18.696368
19,2400.0,2016-03-25 11:09:18.696368,1.0,UAO-S200_SN2016X_HK,2016a,2016-03-25 10:29:18.696368
20,3900.0,2016-03-25 12:14:18.696368,1.0,UAO-S143_egsel31_J,2016a,2016-03-25 11:09:18.696368
21,3600.0,2016-03-26 03:33:01.908694,1.0,UAO-S200_ASASSN15rb,2016a,2016-03-26 02:33:01.908694
22,17100.0,2016-03-26 08:18:01.908694,12.0,SAO-7_m1149z1_H,2016a,2016-03-26 03:33:01.908694
23,14700.0,2016-03-26 12:23:01.908694,10.0,UAO-S143_egsel31_J,2016a,2016-03-26 08:18:01.908694
24,3600.0,2016-03-27 03:33:45.279558,1.0,UAO-S200_SN2005ip_HK,2016a,2016-03-27 02:33:45.279558
25,26700.0,2016-03-27 10:58:45.279558,20.0,SAO-7_m1149z1,2016a,2016-03-27 03:33:45.279558
26,3900.0,2016-03-27 12:03:45.279558,1.0,UAO-S143_egsel31_J,2016a,2016-03-27 10:58:45.279558
27,9900.0,2016-03-28 05:19:28.823497,10.0,UAO-S143_gdnel31_H,2016a,2016-03-28 02:34:28.823497
28,15900.0,2016-03-28 09:44:28.823497,11.0,UAO-S143_egsel41_J,2016a,2016-03-28 05:19:28.823497
29,2400.0,2016-03-28 10:24:28.823497,1.0,UAO-S200_SN2016X_J,2016a,2016-03-28 09:44:28.823497
30,23100.0,2016-03-29 09:00:12.554228,17.0,SAO-7_m1149z1,2016a,2016-03-29 02:35:12.554228
31,2520.0,2016-03-29 09:42:12.554228,1.0,UAO-S200_SN2016C_J,2016a,2016-03-29 09:00:12.554228
32,5100.0,2016-03-29 11:07:12.554228,2.0,SAO-7_a1689z1,2016a,2016-03-29 09:42:12.554228
33,3000.0,2016-03-29 12:17:12.554228,1.0,UAO-S200_J13522_HK,2016a,2016-03-29 11:27:12.554228
